Assembly Name,Assembly Accession,Assembly Paired Assembly Accession,Organism Name,Organism Taxonomic ID,ANI Check status,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Number of Contigs,Assembly Stats Scaffold N50,Assembly Stats GC Percent,Annotation Count Gene Total,Annotation Count Gene Protein-coding
ASM9098v2,GCF_000090985.2,GCA_000090985.2,Micromonas commoda,296587,,Annotation submitted by Micromonas genome consortium,20989326,17,1394110,64,10125,10049
CCAP_211-61_H1.V1,GCA_052818915.1,,Auxenochlorella symbiontica,634936,,,23020461,12,1967032,64,,
AGIS1.0,GCF_034140825.1,GCA_034140825.1,Oryza sativa Japonica Group,39947,,GCF_034140825.1-RS_2024_06,385710679,12,31111469,43.5,39387,29427
ASM3070453v1,GCF_030704535.1,GCA_030704535.1,Vitis vinifera,29760,,GCF_030704535.1-RS_2023_09,494873210,19,26899771,35,29591,25187
GDT2T_hap1,GCF_042453785.1,GCA_042453785.1,Malus domestica,3750,,GCF_042453785.1-RS_2024_12,650775246,17,37717778,38,51804,39340
Bolivia_mono,GCA_051527215.1,,Medicago sativa,3879,,,775573634,8,101581825,34,,
DVS_A1.0,GCF_022201045.2,GCA_022201045.1,Citrus sinensis,2711,,NCBI Citrus sinensis Annotation Release 103,298977511,9,32942340,34,29331,23556
Lsat_Salinas_v15,GCF_002870075.5,GCA_002870075.5,Lactuca sativa,4236,,GCF_002870075.5-RS_2026_02,2601098885,9,324639535,38,55372,35338
ASM3437058v1,GCA_034370585.1,,Fragaria x ananassa,3747,,,793463571,28,28260955,39.5,,
ASM3963971v1,GCA_039639715.1,,Citrullus lanatus,3654,,,373729396,11,36073259,34,,
EIMB_LUsi_Atlant_2.0,GCA_054134595.1,,Linum usitatissimum,4006,,,491131966,15,32255593,37.5,,
ASM3175591v1,GCF_031755915.1,GCA_031755915.1,Ziziphus jujuba,326968,,GCF_031755915.1-RS_2023_10,393332932,12,32197620,33,33096,25203
ASM3799707v1,GCA_037997075.1,,Oryza rufipogon,4529,,,418789499,12,33852118,44,,
XTBG_Pame_1.0,GCA_051132755.1,,Persea americana,3435,,"Annotation submitted by Xishuangbanna Tropical Botanical Garden, CAS",841551734,12,78837527,39.5,40252,40252
ASM5485287v1,GCA_054852875.1,,Citrus maxima,37334,,,345137889,9,41761875,37.5,,
ASM5214893v1,GCA_052148935.1,,Populus deltoides,3696,,,402440599,19,22734835,34,,
ASM2591765v1,GCA_025917655.1,,Chlorella sorokiniana,3076,,,38612678,13,3040600,66,,
GZX_Primary_assembly,GCA_053572015.1,,Prunus armeniaca,36596,,,253575856,8,31483207,38,,
ASM3844276v1,GCA_038442765.1,,Panicum miliaceum,4540,,,834678208,18,48261264,47,,
PBN-43_hap1,GCA_049350635.1,,Xanthoceras sorbifolium,99658,,Annotation submitted by Peking University-Institute of Advanced Agricultural Science,467233670,15,31760580,35.5,33354,33354
ASM3027215v1,GCA_030272155.1,,Tetradesmus obliquus,3088,,Annotation submitted by Los Alamos National Laboratory,104665984,17,6124559,56.5,15224,14738
ASM5483347v1,GCA_054833475.1,,Capsicum chinense,80379,,,3053619153,12,257228862,35,,
ASM5138097v1,GCA_051380975.1,,Eucalyptus urophylla x Eucalyptus grandis,765255,,,528932248,11,50210886,39.5,,
ASM1822364v1,GCA_018223645.1,,Jasminum sambac,660624,,,505501947,13,40025411,34.5,,
ASM4387381v1,GCA_043873815.1,,Santalum album,35974,,,218895024,10,27141727,37.5,,
ASM5140373v1,GCA_051403735.1,,Lablab purpureus,35936,,,460764246,11,41296257,30,,
BVRC_Lsic_1.0,GCA_049863445.1,,Lagenaria siceraria,3668,,,298671209,11,28545436,32,,
ASM4749625v1,GCA_047496255.1,,Selenicereus monacanthus,1195128,,,1429064472,11,135155251,36,,
Version 1,GCA_049487715.1,,Pycnococcus provasolii,41880,,Annotation submitted by Universite Laval,31520057,45,715766,57.5,14349,14316
ASM5455311v1,GCA_054553115.1,,Malus baccata,106549,,,623106809,17,36477198,38,,
yizhi_t2t,GCA_051943365.1,,Alpinia oxyphylla,125261,,,2045518251,24,91563498,39,,
ASM3964508v1,GCA_039645085.1,,Citrullus colocynthis,252529,,,378615189,11,33436306,34,,
ASM5281503v1,GCA_052815035.1,,Pyrus sinkiangensis,363829,,,507495836,17,29309813,37.5,,
